mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_flaml,erro,erro_absoluto
2022-07-01,AP,NORTE,5.32,6.029334159916962,-0.7093341599169616,0.7093341599169616
2024-05-01,AP,NORTE,5.62,5.965073799206472,-0.34507379920647185,0.34507379920647185
2022-02-01,RS,SUL,6.352,6.641086141260635,-0.2890861412606345,0.2890861412606345
2022-06-01,SP,SUDESTE,6.84,6.559685846306887,0.2803141536931131,0.2803141536931131
2022-05-01,AL,NORDESTE,7.13,7.406384583067337,-0.2763845830673368,0.2763845830673368
2023-09-01,CE,NORDESTE,6.09,5.837813236581545,0.2521867634184547,0.2521867634184547
2024-11-01,RO,NORTE,7.16,6.916006100140981,0.24399389985901898,0.24399389985901898
2021-01-01,AM,NORTE,4.519,4.759686145412896,-0.24068614541289612,0.24068614541289612
2023-09-01,MT,CENTRO OESTE,5.87,5.6326134049148,0.23738659508520055,0.23738659508520055
2024-08-01,PI,NORDESTE,6.0,5.77051884895283,0.22948115104717015,0.22948115104717015
2024-04-01,RN,NORDESTE,5.95,6.178071875925339,-0.2280718759253384,0.2280718759253384
2025-06-01,AL,NORDESTE,6.23,6.453323859714858,-0.22332385971485724,0.22332385971485724
2021-12-01,GO,CENTRO OESTE,6.925,6.702074979156542,0.22292502084345767,0.22292502084345767
2021-08-01,BA,NORDESTE,6.054,6.265264594841823,-0.2112645948418228,0.2112645948418228
2024-02-01,DF,CENTRO OESTE,5.8,5.589176124251138,0.2108238757488614,0.2108238757488614
2022-11-01,PB,NORDESTE,4.79,4.996739404564957,-0.20673940456495732,0.20673940456495732
2024-12-01,RR,NORTE,6.89,6.68502914087758,0.20497085912241975,0.20497085912241975
2023-03-01,RR,NORTE,6.08,5.878431754760184,0.20156824523981598,0.20156824523981598
2024-10-01,RO,NORTE,7.05,6.848458093606502,0.20154190639349778,0.20154190639349778
2021-10-01,MT,CENTRO OESTE,6.347,6.545091686241667,-0.19809168624166684,0.19809168624166684
2022-09-01,DF,CENTRO OESTE,4.89,5.087993538045587,-0.19799353804558706,0.19799353804558706
2025-01-01,SE,NORDESTE,6.37,6.173729680685695,0.19627031931430494,0.19627031931430494
2023-06-01,AC,NORTE,6.04,6.232915599631836,-0.1929155996318359,0.1929155996318359
2022-08-01,RS,SUL,5.25,5.441574293578178,-0.1915742935781779,0.1915742935781779
2021-11-01,CE,NORDESTE,6.949,6.758220888057999,0.1907791119420006,0.1907791119420006
2025-12-01,RJ,SUDESTE,6.11,6.300278496852956,-0.1902784968529554,0.1902784968529554
2022-04-01,RO,NORTE,7.353,7.163536978345916,0.1894630216540838,0.1894630216540838
2022-09-01,RJ,SUDESTE,5.12,5.307590745064691,-0.18759074506469098,0.18759074506469098
2021-12-01,PR,SUL,6.396,6.579971716293862,-0.1839717162938621,0.1839717162938621
2023-08-01,RJ,SUDESTE,5.58,5.763554611525283,-0.18355461152528285,0.18355461152528285
2023-02-01,RS,SUL,4.97,5.152622770725289,-0.1826227707252892,0.1826227707252892
2021-07-01,AP,NORTE,5.031,5.206106788027103,-0.17510678802710355,0.17510678802710355
2025-04-01,RN,NORDESTE,6.4,6.226565708787404,0.17343429121259657,0.17343429121259657
2023-02-01,PA,NORTE,4.92,5.0929229253784545,-0.17292292537845455,0.17292292537845455
2022-12-01,MT,CENTRO OESTE,4.99,5.161026303076105,-0.171026303076105,0.171026303076105
2025-12-01,SE,NORDESTE,6.51,6.339706354639352,0.17029364536064762,0.17029364536064762
2021-08-01,PR,SUL,5.689,5.859169211507781,-0.17016921150778064,0.17016921150778064
2022-05-01,PE,NORDESTE,7.17,7.337421394661122,-0.1674213946611225,0.1674213946611225
2024-12-01,SE,NORDESTE,6.29,6.1258059199362345,0.16419408006376557,0.16419408006376557
2023-05-01,RS,SUL,5.22,5.38369564113987,-0.16369564113987067,0.16369564113987067
2021-02-01,DF,CENTRO OESTE,5.1,4.937965345627868,0.16203465437213183,0.16203465437213183
2022-08-01,PI,NORDESTE,5.57,5.414224954614987,0.1557750453850133,0.1557750453850133
2025-10-01,MA,NORDESTE,5.83,5.984995531783669,-0.1549955317836691,0.1549955317836691
2023-07-01,SC,SUL,5.78,5.626177813163406,0.1538221868365941,0.1538221868365941
2025-10-01,SE,NORDESTE,6.6,6.4540595477108464,0.1459404522891532,0.1459404522891532
2023-08-01,CE,NORDESTE,6.14,5.9948328338044945,0.14516716619550518,0.14516716619550518
2024-07-01,SP,SUDESTE,5.77,5.914859295511293,-0.14485929551129306,0.14485929551129306
2023-04-01,RN,NORDESTE,5.8,5.656565631937174,0.1434343680628256,0.1434343680628256
2021-09-01,SP,SUDESTE,5.755,5.898064777522101,-0.14306477752210078,0.14306477752210078
