regiao,mae,rmse,erro_medio,mape_percentual
SUDESTE,0.06750440307946293,0.09174098259037629,-0.012257287454308133,1.164675286987086
CENTRO OESTE,0.07216987091543707,0.09661580148477464,0.0071331526623097385,1.2432884761239458
NORDESTE,0.07896811561581694,0.10097528819525174,0.01324576625234606,1.3194353678044086
NORTE,0.08060840016940306,0.12472694936966709,-0.003873166382057184,1.357958653734136
SUL,0.09246646305179435,0.11047317196169976,-0.02947869120323247,1.5874329282497726
