,PC1,PC2
preco_medio_gasolina_c,-0.016851746632877775,0.36831530772413895
volume_gasolina_c_m3,0.373918809644211,-0.4426764608669741
volume_etanol_hidratado_m3,0.45586217533110396,-0.317916781550206
variacao_preco_gasolina_c,0.029864386682329394,0.4847011993754212
variacao_volume_gasolina_c,-0.009483201436346483,-0.4034261179522698
participacao_etanol,0.512273893394011,0.1695333494582226
razao_etanol_gasolina,0.488485742673895,0.16604399274531617
preco_relativo_etanol_gasolina,-0.38738320069661003,-0.33661588743221704
