resumo,valor
Mediana do erro absoluto,0.05711030614190582
75% dos erros absolutos,0.10759627727631371
90% dos erros absolutos,0.17328088146235396
95% dos erros absolutos,0.20446046704002907
Máximo erro absoluto,0.7093341599169616
Desvio-padrão do erro assinado,0.10701725520523317
Erro médio assinado,-0.0006234400437398792
