regiao,mae,rmse,erro_medio,mape
CENTRO OESTE,0.07602110640207921,0.09679550173266419,0.012022849718729708,1.2864931739811687
NORDESTE,0.08881044235935923,0.11395825846431012,-0.005215524850068265,1.4806736893504426
NORTE,0.0916493261428106,0.11650250227535298,0.01861896623883927,1.5195445558606584
SUDESTE,0.08477736258506773,0.11270540226870629,-0.026404827833175642,1.4507945651457694
SUL,0.10481407631768119,0.1250786461550441,-0.033414565828111434,1.8105416800604766
