Feature,Importance
preco_medio_etanol_hidratado,9642.293676083358
ano,4613.173724760685
participacao_etanol,2963.7614549262903
mes,865.9624259110183
volume_gasolina_c_m3,550.6693612051347
razao_etanol_gasolina,529.3111134402352
volume_etanol_hidratado_m3,481.90231542543415
volume_total_analisado_m3,288.74630539816167
variacao_volume_gasolina_c,120.22087215580433
uf,0.0
regiao,0.0
