modelo,rmse,mae,r2,mape_percentual,melhora_rmse_percentual
FLAML (lgbm),0.10685379624291108,0.07818771580974654,0.9734149015719641,1.3249919527248915,0.0
Média do treino,0.6553491806869038,0.5164907407407408,-8.93845073957067e-06,8.73835436576175,
Média por região,0.6467150054978692,0.5111888906803432,0.02616756351686811,8.663285809779461,
Média por UF,0.6291083214861183,0.4920930983242926,0.07847054772291162,8.369901454774675,
