mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_lightautoml,erro,erro_absoluto
2021-12-01,MT,CENTRO OESTE,6.629,6.484717,0.14428310775756792,0.14428310775756792
2025-05-01,AC,NORTE,7.72,7.5759635,0.14403650283813452,0.14403650283813452
2024-05-01,AP,NORTE,5.62,5.763475,-0.143474941253662,0.143474941253662
2021-05-01,AC,NORTE,6.319,6.1766243,0.14237570190429683,0.14237570190429683
2022-08-01,RS,SUL,5.25,5.391525,-0.1415247917175293,0.1415247917175293
2025-11-01,SE,NORDESTE,6.51,6.36883,0.14116979598999002,0.14116979598999002
2022-09-01,RS,SUL,4.87,5.0109615,-0.14096153259277333,0.14096153259277333
2021-06-01,AM,NORTE,5.261,5.4019194,-0.1409193649291991,0.1409193649291991
2024-04-01,MA,NORDESTE,5.58,5.719394,-0.13939420700073235,0.13939420700073235
2024-11-01,MA,NORDESTE,5.82,5.95842,-0.13841979980468722,0.13841979980468722
2025-10-01,MA,NORDESTE,5.83,5.9679384,-0.1379384231567382,0.1379384231567382
2023-11-01,MT,CENTRO OESTE,5.69,5.552506,0.1374940299987797,0.1374940299987797
2021-04-01,GO,CENTRO OESTE,5.694,5.5575914,0.13640856170654292,0.13640856170654292
2023-10-01,RO,NORTE,6.47,6.3338685,0.1361314964294431,0.1361314964294431
2023-06-01,SE,NORDESTE,5.47,5.605414,-0.1354139137268069,0.1354139137268069
2023-10-01,AC,NORTE,6.76,6.6251426,0.13485742568969705,0.13485742568969705
2025-12-01,SE,NORDESTE,6.51,6.376064,0.13393617630004861,0.13393617630004861
2022-06-01,RN,NORDESTE,7.57,7.7025175,-0.13251750946044893,0.13251750946044893
2021-10-01,MT,CENTRO OESTE,6.347,6.479036,-0.1320358543395992,0.1320358543395992
2023-02-01,SE,NORDESTE,5.06,5.1913886,-0.13138860702514688,0.13138860702514688
2025-01-01,PR,SUL,6.28,6.4104137,-0.13041374206542944,0.13041374206542944
2023-06-01,RJ,SUDESTE,5.37,5.4978757,-0.12787569046020497,0.12787569046020497
2024-10-01,AC,NORTE,7.34,7.212456,0.1275437736511229,0.1275437736511229
2025-07-01,RO,NORTE,6.83,6.7041526,0.12584741592407234,0.12584741592407234
2022-05-01,ES,SUDESTE,7.46,7.335109,0.12489076614379879,0.12489076614379879
2024-03-01,SP,SUDESTE,5.61,5.4855986,0.1244014358520511,0.1244014358520511
2025-07-01,PI,NORDESTE,5.88,6.0019274,-0.12192737579345714,0.12192737579345714
2024-08-01,GO,CENTRO OESTE,5.94,6.060465,-0.12046485900878867,0.12046485900878867
2022-11-01,SC,SUL,5.13,5.009599,0.12040079116821278,0.12040079116821278
2024-01-01,AL,NORDESTE,5.54,5.4196215,0.120378532409668,0.120378532409668
2023-04-01,MA,NORDESTE,5.44,5.5585775,-0.1185775375366207,0.1185775375366207
