mes_ano,uf,regiao,preco_medio_gasolina_c,previsao_lightautoml,erro,erro_absoluto
2022-12-01,SE,NORDESTE,4.82,4.892297,-0.07229679107665987,0.07229679107665987
2022-12-01,TO,NORTE,5.19,5.1180644,0.07193559646606484,0.07193559646606484
2022-10-01,AL,NORDESTE,4.9,4.828358,0.07164182662963903,0.07164182662963903
2023-09-01,GO,CENTRO OESTE,5.7,5.629686,0.07031412124633807,0.07031412124633807
2022-01-01,PI,NORDESTE,6.878,6.807937,0.07006285476684582,0.07006285476684582
2025-10-01,MT,CENTRO OESTE,6.32,6.389514,-0.06951396942138643,0.06951396942138643
2023-08-01,PI,NORDESTE,5.68,5.748719,-0.06871921539306669,0.06871921539306669
2025-10-01,DF,CENTRO OESTE,6.31,6.3785286,-0.06852859497070352,0.06852859497070352
2024-10-01,MA,NORDESTE,5.84,5.907318,-0.06731811523437514,0.06731811523437514
2025-01-01,SE,NORDESTE,6.37,6.3027816,0.067218418121338,0.067218418121338
2022-06-01,SP,SUDESTE,6.84,6.7731323,0.06686767578124986,0.06686767578124986
2024-02-01,PE,NORDESTE,5.68,5.746575,-0.06657487869262724,0.06657487869262724
2024-09-01,MG,SUDESTE,6.16,6.0947323,0.0652677154541017,0.0652677154541017
2021-04-01,SE,NORDESTE,5.628,5.564687,0.06331322479248058,0.06331322479248058
2025-10-01,SE,NORDESTE,6.6,6.536939,0.06306085586547816,0.06306085586547816
2022-03-01,CE,NORDESTE,7.173,7.110137,0.06286301422119145,0.06286301422119145
2024-04-01,GO,CENTRO OESTE,5.86,5.797675,0.062324867248535476,0.062324867248535476
2022-05-01,PR,SUL,7.28,7.217742,0.062258033752441655,0.062258033752441655
2021-10-01,RO,NORTE,6.376,6.4377193,-0.061719345092773104,0.061719345092773104
2022-09-01,MG,SUDESTE,4.95,4.88863,0.06137008666992205,0.06137008666992205
2025-01-01,RS,SUL,6.03,6.0908546,-0.060854644775390376,0.060854644775390376
2024-05-01,RJ,SUDESTE,5.77,5.83083,-0.060830097198486754,0.060830097198486754
2025-01-01,PB,NORDESTE,6.04,6.100691,-0.06069084167480465,0.06069084167480465
2022-12-01,PB,NORDESTE,4.76,4.8204517,-0.060451736450195526,0.060451736450195526
2021-01-01,MA,NORDESTE,4.585,4.524814,0.06018587112426754,0.06018587112426754
2021-10-01,SE,NORDESTE,6.418,6.4781857,-0.06018565368652329,0.06018565368652329
2025-09-01,RS,SUL,6.1,6.0398993,0.06010065078735316,0.06010065078735316
2021-10-01,PE,NORDESTE,6.268,6.327967,-0.05996716690063497,0.05996716690063497
2021-09-01,MT,CENTRO OESTE,6.134,6.191149,-0.057149234771728175,0.057149234771728175
2023-03-01,AL,NORDESTE,5.48,5.4244547,0.05554531097412152,0.05554531097412152
2023-06-01,TO,NORTE,5.61,5.66537,-0.05536998748779265,0.05536998748779265
2022-11-01,PB,NORDESTE,4.79,4.845316,-0.05531593322753903,0.05531593322753903
2024-02-01,MS,CENTRO OESTE,5.58,5.635248,-0.05524818420410149,0.05524818420410149
2021-03-01,AP,NORTE,4.789,4.8439465,-0.054946456909179986,0.054946456909179986
2024-06-01,RJ,SUDESTE,5.78,5.8348837,-0.054883689880370845,0.054883689880370845
2023-08-01,MS,CENTRO OESTE,5.39,5.444776,-0.054776058197021804,0.054776058197021804
