mes_ano,uf,preco_medio_etanol_hidratado,preco_medio_gasolina_c,volume_etanol_hidratado_m3,volume_gasolina_c_m3,uf_nome,regiao,volume_total_analisado_m3,participacao_etanol,razao_etanol_gasolina,preco_relativo_etanol_gasolina,variacao_preco_gasolina_c,variacao_volume_gasolina_c,ano,mes
2023-01-01,AC,4.36,5.27,417.377,12196.5,ACRE,NORTE,12613.877,0.033088716498503985,0.03422104702168655,0.8273244781783683,-0.020446096654275103,-0.13585801332010772,2023,1
2023-02-01,AC,4.36,5.48,405.854,12039.5,ACRE,NORTE,12445.354,0.032610884350899136,0.033710203912122594,0.7956204379562044,0.039848197343453684,-0.012872545402369484,2023,2
2023-03-01,AC,4.38,5.98,588.293,13069.0,ACRE,NORTE,13657.293,0.043075373721571324,0.04501438518631877,0.7324414715719063,0.09124087591240881,0.08551019560612971,2023,3
2023-04-01,AC,4.42,6.06,556.356,11554.0,ACRE,NORTE,12110.356,0.045940515704080045,0.048152674398476716,0.7293729372937294,0.013377926421404451,-0.11592317698370191,2023,4
2023-05-01,AC,4.76,6.24,721.865,13325.8,ACRE,NORTE,14047.664999999999,0.05138683190409225,0.054170481321946906,0.7628205128205128,0.02970297029702973,0.15334948935433612,2023,5
2023-06-01,AC,4.75,6.04,580.479,13060.0,ACRE,NORTE,13640.479,0.04255561699849397,0.044447090352220525,0.7864238410596026,-0.03205128205128205,-0.019946269642347914,2023,6
2023-07-01,AC,4.75,6.37,721.5,13519.0,ACRE,NORTE,14240.5,0.050665355851269266,0.05336933205118722,0.7456828885400314,0.054635761589403975,0.03514548238897386,2023,7
2023-08-01,AC,4.76,6.63,862.5,14046.5,ACRE,NORTE,14909.0,0.057850962505868936,0.06140319652582494,0.717948717948718,0.04081632653061229,0.03901915822176205,2023,8
2023-09-01,AC,4.75,6.75,1022.5,13100.1,ACRE,NORTE,14122.6,0.07240168240975457,0.07805283929130312,0.7037037037037037,0.018099547511312153,-0.06737621471540955,2023,9
2023-10-01,AC,4.76,6.76,1127.432,13657.5,ACRE,NORTE,14784.932,0.07625547415436201,0.08255039355665385,0.7041420118343196,0.001481481481481417,0.042549293516843445,2023,10
2023-11-01,AC,4.77,6.75,1053.934,12517.6,ACRE,NORTE,13571.534,0.07765769145919688,0.08419617179011951,0.7066666666666666,-0.0014792899408283544,-0.0834632985539081,2023,11
2023-12-01,AC,4.75,6.76,1167.948,13444.0,ACRE,NORTE,14611.948,0.07993102630805968,0.08687503719131212,0.7026627218934911,0.001481481481481417,0.07400779702179339,2023,12
2024-01-01,AC,4.73,6.75,1141.0,12476.45,ACRE,NORTE,13617.45,0.0837895494384044,0.0914522961259012,0.7007407407407408,-0.0014792899408283544,-0.07196890806307643,2024,1
2024-02-01,AC,4.75,6.88,1155.5,10926.5,ACRE,NORTE,12082.0,0.0956381393808972,0.1057520706539148,0.690406976744186,0.01925925925925931,-0.12423004941309435,2024,2
2024-03-01,AC,4.73,6.87,1387.44,12501.0,ACRE,NORTE,13888.44,0.09989890873273025,0.11098632109431246,0.6885007278020379,-0.0014534883720930258,0.1440992083466801,2024,3
